Wall time,Step,Value
1763542967.6738398,500,23.714284896850586
1763542967.9988778,1000,20.387754440307617
1763542968.3124254,1500,19.0256404876709
1763542968.6312408,2000,17.739999771118164
1763542968.940783,2500,17.399999618530273
1763542969.2435987,3000,16.850000381469727
1763542969.5614145,3500,16.06999969482422
1763542969.865637,4000,15.319999694824219
1763542970.1773493,4500,14.779999732971191
1763542970.4894195,5000,14.5
1763542970.791574,5500,14.34000015258789
1763542971.093066,6000,14.319999694824219
1763542971.4030557,6500,14.149999618530273
1763542971.7030826,7000,14.029999732971191
1763542972.0050776,7500,14.029999732971191
1763542972.3144047,8000,14.069999694824219
1763542972.607221,8500,14.069999694824219
1763542972.9105988,9000,14.069999694824219
1763542973.2364132,9500,14.020000457763672
1763542973.549908,10000,14.050000190734863
1763542973.8561687,10500,14.0600004196167
1763542974.1634345,11000,14.09000015258789
1763542974.4853024,11500,14.0600004196167
1763542974.855407,12000,14.100000381469727
1763542975.1686585,12500,14.09000015258789
1763542975.5025353,13000,14.100000381469727
1763542975.8272035,13500,14.029999732971191
1763542976.1583629,14000,14.010000228881836
1763542976.4686365,14500,14.0
1763542976.7657187,15000,14.079999923706055
1763542977.094287,15500,14.100000381469727
1763542977.411423,16000,14.100000381469727
1763542977.7261615,16500,14.029999732971191
1763542978.0396807,17000,14.079999923706055
1763542978.347937,17500,14.079999923706055
1763542978.673896,18000,14.069999694824219
1763542978.993409,18500,14.020000457763672
1763542979.298958,19000,14.020000457763672
1763542979.616617,19500,14.020000457763672
1763542979.939941,20000,14.0
1763542980.2499495,20500,14.0
1763542980.559402,21000,14.0
1763542980.871285,21500,14.0
1763542981.179093,22000,14.0
1763542981.4977894,22500,14.0
1763542981.8097188,23000,14.0
1763542982.1478066,23500,14.0
1763542982.4780498,24000,14.020000457763672
1763542982.8210301,24500,14.020000457763672
1763542983.1864257,25000,14.020000457763672
1763542983.5207698,25500,14.0
1763542983.8415923,26000,14.0
1763542984.1762729,26500,14.029999732971191
1763542984.5024688,27000,14.029999732971191
1763542984.8239317,27500,14.050000190734863
1763542985.1630309,28000,14.020000457763672
1763542985.497542,28500,14.010000228881836
1763542985.8198228,29000,14.010000228881836
1763542986.1353738,29500,14.010000228881836
1763542986.4385855,30000,14.010000228881836
1763542986.7792776,30500,14.010000228881836
1763542987.1009843,31000,14.010000228881836
1763542987.424189,31500,14.0
1763542987.7499561,32000,14.0
1763542988.0801852,32500,14.010000228881836
1763542988.3916156,33000,14.029999732971191
1763542988.7024434,33500,14.029999732971191
1763542989.0343237,34000,14.020000457763672
1763542989.3496559,34500,14.0
1763542989.6543705,35000,14.0
1763542989.975472,35500,14.020000457763672
1763542990.2875745,36000,14.020000457763672
1763542990.598784,36500,14.020000457763672
1763542990.9063854,37000,14.0
1763542991.2207787,37500,14.0
1763542991.5281131,38000,14.0
1763542991.8364446,38500,14.0
1763542992.1364582,39000,14.0
1763542992.445889,39500,14.0
1763542992.753119,40000,14.149999618530273
