Wall time,Step,Value
1763543158.3654482,372,93.0
1763543158.446302,570,71.25
1763543158.5828032,899,74.91666412353516
1763543158.6389472,1032,64.5
1763543158.6728315,1109,55.45000076293945
1763543158.7101686,1187,49.45833206176758
1763543158.739071,1252,44.71428680419922
1763543158.7651792,1313,41.03125
1763543158.7921,1372,38.11111068725586
1763543158.8234048,1438,35.95000076293945
1763543158.8502822,1496,34.0
1763543158.8729377,1552,32.33333206176758
1763543158.899392,1608,30.923076629638672
1763543158.926521,1664,29.714284896850586
1763543158.9515169,1724,28.733333587646484
1763543158.9796503,1786,27.90625
1763543159.0021636,1844,27.117647171020508
1763543159.0303097,1902,26.41666603088379
1763543159.0558167,1958,25.763158798217773
1763543159.0787082,2014,25.174999237060547
1763543159.1043706,2070,24.64285659790039
1763543159.12878,2130,24.204545974731445
1763543159.1517844,2186,23.7608699798584
1763543159.184931,2245,23.38541603088379
1763543159.2097712,2301,23.010000228881836
1763543159.2718875,2443,20.709999084472656
1763543159.2992797,2503,19.329999923706055
1763543159.3286564,2559,16.600000381469727
1763543159.3619297,2625,15.930000305175781
1763543159.3885906,2685,15.760000228881836
1763543159.415015,2741,15.539999961853027
1763543159.4427273,2806,15.539999961853027
1763543159.4703994,2862,15.489999771118164
1763543159.498284,2920,15.479999542236328
1763543159.5298195,2984,15.460000038146973
1763543159.5548937,3041,15.449999809265137
1763543159.5817678,3101,15.489999771118164
1763543159.6058712,3158,15.5
1763543159.6297288,3215,15.510000228881836
1763543159.6537743,3273,15.489999771118164
1763543159.6797316,3329,15.430000305175781
1763543159.7067542,3385,15.40999984741211
1763543159.7340617,3447,15.449999809265137
1763543159.7570095,3503,15.449999809265137
1763543159.7826462,3563,15.489999771118164
1763543159.8077283,3624,15.539999961853027
1763543159.833791,3684,15.539999961853027
1763543159.8588297,3740,15.539999961853027
1763543159.8848155,3803,15.579999923706055
1763543159.9105244,3863,15.619999885559082
1763543159.9339507,3921,14.779999732971191
1763543159.96092,3981,14.779999732971191
1763543159.9869041,4039,14.800000190734863
1763543160.0141299,4095,14.699999809265137
1763543160.04095,4151,14.65999984741211
1763543160.1003916,4295,15.539999961853027
1763543160.1384466,4391,15.850000381469727
1763543160.1660337,4453,15.90999984741211
1763543160.190463,4514,15.9399995803833
1763543160.2159731,4574,15.899999618530273
1763543160.2394667,4634,15.930000305175781
1763543160.2665956,4690,15.890000343322754
1763543160.2935615,4748,15.899999618530273
1763543160.3192396,4806,15.90999984741211
1763543160.343982,4864,15.90999984741211
1763543160.3703043,4920,15.90999984741211
1763543160.395175,4977,15.920000076293945
1763543160.4229157,5035,15.880000114440918
1763543160.4505684,5095,15.920000076293945
1763543160.478126,5155,15.920000076293945
1763543160.5040712,5211,15.869999885559082
1763543160.531204,5273,15.890000343322754
1763543160.5589347,5337,15.970000267028809
1763543160.5831368,5398,15.949999809265137
1763543160.6080823,5455,15.920000076293945
1763543160.6330953,5513,15.920000076293945
1763543160.6580648,5571,15.899999618530273
1763543160.6838956,5631,15.920000076293945
1763543160.7326264,5751,16.559999465942383
1763543160.7889104,5898,17.469999313354492
